,scores,ranks,min_flux
0,0.00271407821820115,3342.0,0.014784698840577204
1,0.002657304970526143,3521.0,0.0498872495324445
2,0.0024790737712176844,4197.0,0.11218289057336794
3,0.0022529376641210698,5518.0,0.18268455285175045
4,0.0021303043111531835,6546.0,0.2740711418888629
5,0.0020665093876212435,7198.0,0.3808730091985089
6,0.001960615236911621,8439.0,0.5002717345785183
7,0.0018619482084094997,9796.0,0.6089956984761621
8,0.0017328915548996027,11897.0,0.7282029000597509
9,0.0017604312949950605,11399.0,0.8447445410110501
10,0.0013201870064781904,25037.0,0.95788274248165
11,0.0009031504504481702,87401.0,0.9747503988710194
